model,a,b,mean_moisture_3h_kg_per_kg,surface_moisture_3h_kg_per_kg,center_moisture_3h_kg_per_kg,center_minus_surface_kg_per_kg,moisture_loss_3h,accepted_steps,rejected_steps,moisture_balance_error,max_picard_iterations
M00,0,0,1.4985222540864283,0.865494186449043,2.1642400012468404,1.2987458147977975,1.0514777459135716,86400,0,-1.143036819438014e-10,13
M10,1,0,1.3631026787361962,1.0391019646952004,1.719504453111462,0.6804024884162616,1.1868973212638037,86400,0,-1.1155924179774047e-10,13
M01,0,1,1.5271583159565403,0.8169431683935146,2.1933327878775573,1.3763896194840428,1.0228416840434595,86400,0,-1.5855316847857362e-10,13
M11,1,1,1.3825271803675045,1.0081235219649396,1.7661803818023554,0.7580568598374158,1.1674728196324953,86400,0,-1.095337346214767e-10,13
